"アイテムID(NC)","アイテムコード","アイテム名(NC)","位置別アイテム画像コード","表示名","表示順","表示可否","プラットフォームプリセット","カラーID","カラー名称(NC)","サムネイルファイル名","マスク画像ファイル名"
"13566","5001-01","5.6オンス ハイクオリティー Tシャツ〈アダルト〉","5001-01_chest_left","左胸","1","1","0","6265","ダークヘザーネイビー","5001-01-0001.jpg",""
"13566","5001-01","5.6オンス ハイクオリティー Tシャツ〈アダルト〉","5001-01_chest_left","左胸","1","1","0","6266","ダークネイビー","5001-01-0001.jpg",""
"13566","5001-01","5.6オンス ハイクオリティー Tシャツ〈アダルト〉","5001-01_chest_left","左胸","1","1","0","6267","ヘザーブラック","5001-01-0001.jpg",""
"13566","5001-01","5.6オンス ハイクオリティー Tシャツ〈アダルト〉","5001-01_chest_left","左胸","1","1","0","6268","ライトオリーブ","5001-01-0001.jpg",""
"13566","5001-01","5.6オンス ハイクオリティー Tシャツ〈アダルト〉","5001-01_chest_left","左胸","1","1","0","6269","ヘイジーブラック","5001-01-0001.jpg",""
"13566","5001-01","5.6オンス ハイクオリティー Tシャツ〈アダルト〉","5001-01_chest_left","左胸","1","1","0","6270","ヘイジーネイビー","5001-01-0001.jpg",""
"13566","5001-01","5.6オンス ハイクオリティー Tシャツ〈アダルト〉","5001-01_chest_left","左胸","1","1","0","6271","ヘイジーグリーン","5001-01-0001.jpg",""
"13566","5001-01","5.6オンス ハイクオリティー Tシャツ〈アダルト〉","5001-01_chest_left","左胸","1","1","0","6272","グレイッシュパープル","5001-01-0001.jpg",""
"13566","5001-01","5.6オンス ハイクオリティー Tシャツ〈アダルト〉","5001-01_chest_left","左胸","1","1","0","6273","グレイッシュグリーン","5001-01-0001.jpg",""
"13566","5001-01","5.6オンス ハイクオリティー Tシャツ〈アダルト〉","5001-01_chest_left","左胸","1","1","0","6274","グレージュ","5001-01-0001.jpg",""
"13566","5001-01","5.6オンス ハイクオリティー Tシャツ〈アダルト〉","5001-01_chest_left","左胸","1","1","0","6275","ヘイジーパープル","5001-01-0001.jpg",""
"13566","5001-01","5.6オンス ハイクオリティー Tシャツ〈アダルト〉","5001-01_chest_left","左胸","1","1","0","6276","ヘイジーオレンジ","5001-01-0001.jpg",""
"13566","5001-01","5.6オンス ハイクオリティー Tシャツ〈アダルト〉","5001-01_chest_left","左胸","1","1","0","6277","ヘイジーブルー","5001-01-0001.jpg",""
